left,front,right,command
71,166,55,forward
115,100,107,forward
191,52,93,forward
25,129,191,forward
3,141,15,forward
94,197,138,forward
92,99,32,forward
135,132,135,forward
151,196,172,forward
1,10,130,back
194,198,151,forward
45,92,110,forward
114,87,118,forward
48,26,101,spin_right
21,16,37,back
94,63,188,forward
25,0,35,back
70,176,148,forward
198,131,172,forward
153,88,35,forward
197,66,67,forward
9,171,155,forward
40,12,19,back
174,172,118,forward
119,59,152,forward
185,41,42,left
114,165,183,forward
105,100,99,forward
167,92,191,forward
130,22,158,spin_right
185,166,162,forward
17,137,109,forward
18,119,175,forward
136,123,161,forward
30,143,126,forward
57,155,80,forward
173,95,187,forward
8,170,91,forward
77,169,0,forward
21,72,180,forward
64,19,10,back
164,149,192,forward
142,33,183,right
120,50,87,left
62,69,4,forward
183,60,128,forward
121,55,10,forward
125,11,104,back
99,128,110,forward
71,133,10,forward
103,139,179,forward
141,149,105,forward
118,94,74,forward
12,87,111,forward
127,124,31,forward
168,28,173,spin_right
193,129,77,forward
153,152,142,forward
17,152,150,forward
94,168,0,forward
81,137,40,forward
47,187,169,forward
64,187,5,forward
136,100,83,forward
41,154,155,forward
23,158,128,forward
119,105,110,forward
49,99,89,forward
149,50,29,left
42,141,74,forward
77,46,15,left
89,154,33,forward
94,17,121,back
15,136,70,forward
105,88,100,forward
110,142,138,forward
94,142,143,forward
128,167,138,forward
79,71,57,forward
6,42,31,right
129,165,5,forward
76,160,88,forward
101,175,30,forward
48,14,107,back
43,187,30,forward
166,57,59,forward
102,81,189,forward
174,32,196,right
147,84,34,forward
128,124,126,forward
8,172,4,forward
72,91,96,forward
195,193,94,forward
103,135,112,forward
87,98,20,forward
25,46,70,right
6,175,148,forward
86,116,121,forward
56,108,67,forward
113,25,69,spin_left
68,44,160,right
14,199,16,forward
155,160,147,forward
167,27,115,spin_left
127,140,139,forward
65,176,27,forward
104,2,140,back
64,117,9,forward
73,48,35,left
127,170,0,forward
67,166,109,forward
19,6,153,back
118,194,198,forward
1,26,185,spin_right
76,30,193,spin_right
171,97,86,forward
196,95,79,forward
77,8,96,back
39,74,112,forward
180,16,62,back
74,110,30,forward
8,147,11,forward
134,3,122,back
43,126,32,forward
176,58,79,forward
41,107,159,forward
103,63,191,forward
133,75,96,forward
134,6,4,back
59,144,173,forward
119,178,78,forward
148,189,131,forward
55,143,127,forward
124,186,97,forward
79,62,124,forward
40,130,183,forward
65,199,150,forward
108,199,194,forward
111,41,128,right
98,49,79,left
13,56,77,forward
114,110,159,forward
197,172,56,forward
44,198,70,forward
140,94,183,forward
169,57,154,forward
112,7,35,back
6,5,24,back
132,84,134,forward
145,74,194,forward
146,74,37,forward
188,70,176,forward
46,148,123,forward
40,198,52,forward
33,159,39,forward
86,145,159,forward
18,188,80,forward
156,38,198,right
159,122,163,forward
186,186,81,forward
29,92,47,forward
80,174,14,forward
149,27,127,spin_left
121,64,53,forward
5,139,177,forward
103,169,56,forward
13,5,119,back
147,130,16,forward
83,3,10,back
62,188,152,forward
139,192,26,forward
160,114,51,forward
173,193,82,forward
176,126,14,forward
49,119,47,forward
29,85,152,forward
131,123,159,forward
154,170,154,forward
196,181,132,forward
175,104,136,forward
7,198,101,forward
11,90,98,forward
118,42,121,right
1,113,47,forward
54,98,73,forward
33,153,50,forward
92,41,94,right
79,157,182,forward
154,95,75,forward
89,50,140,right
87,59,49,forward
35,140,195,forward
116,156,184,forward
10,125,131,forward
194,61,109,forward
99,146,149,forward
87,145,123,forward
187,177,49,forward
186,49,37,left
77,15,153,back
153,179,87,forward
144,49,19,left
175,17,98,back
145,78,37,forward
149,191,141,forward
65,9,146,back
188,68,119,forward
76,199,6,forward
81,179,172,forward
98,115,109,forward
104,171,89,forward
9,33,132,right
6,96,158,forward
18,141,37,forward
17,174,49,forward
101,149,67,forward
53,175,142,forward
174,48,162,left
178,109,194,forward
68,61,133,forward
36,46,113,right
123,46,68,left
74,88,158,forward
5,166,159,forward
5,6,98,back
21,69,114,forward
137,116,133,forward
142,77,7,forward
50,174,142,forward
181,142,168,forward
99,121,114,forward
120,13,89,back
70,161,182,forward
142,77,87,forward
0,106,64,forward
23,43,22,left
20,132,120,forward
26,199,95,forward
108,191,109,forward
67,90,147,forward
38,105,8,forward
99,64,53,forward
182,1,101,back
45,45,143,right
23,155,73,forward
27,119,173,forward
193,123,47,forward
136,79,11,forward
82,131,170,forward
128,147,109,forward
161,190,15,forward
119,36,187,right
41,109,64,forward
34,144,82,forward
190,31,164,left
169,160,161,forward
188,11,118,back
104,124,192,forward
118,79,125,forward
59,121,191,forward
169,78,103,forward
75,182,11,forward
3,167,53,forward
67,151,50,forward
115,186,4,forward
66,164,9,forward
142,88,97,forward
110,179,170,forward
31,0,194,back
23,162,159,forward
120,153,4,forward
117,136,19,forward
114,58,13,forward
168,190,172,forward
78,74,47,forward
184,165,56,forward
79,91,194,forward
157,170,101,forward
132,130,69,forward
151,118,92,forward
186,91,91,forward
178,157,143,forward
52,153,14,forward
35,17,158,back
153,65,49,forward
117,40,93,left
59,185,67,forward
101,82,142,forward
150,172,175,forward
99,2,39,back
129,114,86,forward
117,143,43,forward
128,58,123,forward
188,95,138,forward
157,184,1,forward
146,171,149,forward
177,8,187,back
159,193,84,forward
156,119,167,forward
159,139,15,forward
196,83,64,forward
42,102,184,forward
40,0,27,back
126,112,112,forward
189,161,52,forward
60,103,19,forward
28,127,173,forward
121,163,24,forward
86,186,14,forward
120,157,64,forward
31,141,26,forward
91,123,156,forward
56,139,5,forward
29,119,45,forward
148,0,161,back
185,81,199,forward
44,106,140,forward
129,40,23,left
15,180,58,forward
75,111,84,forward
195,160,182,forward
94,46,76,left
193,75,37,forward
174,75,166,forward
179,36,67,left
152,145,10,forward
5,135,20,forward
87,45,71,left
55,57,46,forward
168,76,39,forward
113,5,174,back
62,130,161,forward
145,151,121,forward
87,148,28,forward
3,134,115,forward
27,165,89,forward
106,64,59,forward
23,88,10,forward
93,111,56,forward
141,185,129,forward
83,91,4,forward
26,94,84,forward
75,122,18,forward
173,46,48,left
51,198,98,forward
106,29,73,spin_left
31,190,146,forward
26,90,67,forward
191,48,20,left
68,186,147,forward
136,188,117,forward
102,74,12,forward
112,132,94,forward
137,141,32,forward
60,111,54,forward
134,198,92,forward
156,77,120,forward
126,195,176,forward
140,42,134,left
61,97,54,forward
140,57,126,forward
150,25,76,spin_left
118,104,117,forward
181,26,158,spin_left
16,20,116,back
112,126,116,forward
33,138,99,forward
184,194,155,forward
171,36,171,right
199,64,183,forward
125,65,31,forward
91,52,187,forward
100,142,147,forward
49,13,134,back
99,182,123,forward
120,197,39,forward
144,41,68,left
99,122,17,forward
110,110,43,forward
87,53,115,forward
192,9,179,back
103,127,181,forward
190,71,153,forward
190,115,151,forward
31,163,186,forward
77,184,84,forward
124,33,193,right
19,61,157,forward
124,38,126,right
14,64,140,forward
114,85,108,forward
65,124,57,forward
186,24,73,spin_left
65,121,130,forward
167,191,148,forward
52,85,111,forward
102,84,161,forward
73,128,27,forward
18,128,104,forward
187,117,15,forward
3,98,166,forward
80,27,42,spin_left
143,44,18,left
161,108,175,forward
187,80,20,forward
71,131,178,forward
130,74,140,forward
55,159,49,forward
48,136,136,forward
96,104,145,forward
163,59,2,forward
48,93,104,forward
191,120,87,forward
85,198,91,forward
98,196,170,forward
53,33,96,right
71,35,133,right
187,188,22,forward
24,108,38,forward
76,122,179,forward
98,4,61,back
116,31,104,left
77,37,81,right
26,129,193,forward
161,177,180,forward
144,142,37,forward
108,147,49,forward
174,42,73,left
162,82,146,forward
4,161,116,forward
171,71,74,forward
81,104,91,forward
138,166,190,forward
15,171,188,forward
56,121,69,forward
120,63,40,forward
191,104,9,forward
101,4,32,back
40,39,192,right
25,37,86,right
44,191,165,forward
133,110,136,forward
177,85,90,forward
85,176,140,forward
143,123,6,forward
186,32,75,left
131,18,166,back
56,191,123,forward
175,96,128,forward
133,92,107,forward
74,122,17,forward
61,168,109,forward
56,50,21,left
32,4,180,back
181,5,153,back
24,145,0,forward
10,71,59,forward
199,128,84,forward
181,10,39,back
168,160,177,forward
185,189,166,forward
179,5,158,back
157,188,38,forward
67,7,150,back
122,25,159,spin_right
42,132,194,forward
54,173,182,forward
105,42,91,left
65,179,34,forward
159,103,82,forward
18,151,84,forward
80,35,123,right
55,159,73,forward
84,72,42,forward
53,64,76,forward
10,88,1,forward
189,47,98,left
122,54,114,forward
139,171,83,forward
62,132,3,forward
126,100,103,forward
38,199,104,forward
116,180,58,forward
99,56,123,forward
156,85,158,forward
138,177,193,forward
31,30,102,spin_right
122,9,174,back
38,166,99,forward
42,21,80,spin_right
172,97,180,forward
152,116,42,forward
144,24,82,spin_left
123,29,191,spin_right
47,144,114,forward
119,64,148,forward
100,115,40,forward
161,87,181,forward
47,15,139,back
119,26,197,spin_right
10,19,69,back
112,115,52,forward
128,87,1,forward
155,10,145,back
0,50,160,right
15,31,41,right
108,24,133,spin_right
128,35,183,right
32,49,138,right
113,89,170,forward
14,102,35,forward
13,199,58,forward
178,120,112,forward
190,115,37,forward
39,189,79,forward
84,11,188,back
22,118,64,forward
181,159,28,forward
61,112,0,forward
106,50,166,right
163,159,152,forward
3,162,188,forward
15,87,196,forward
177,179,96,forward
5,51,177,forward
77,86,103,forward
196,146,112,forward
121,156,158,forward
76,7,63,back
30,58,76,forward
19,109,103,forward
131,97,4,forward
173,135,185,forward
98,129,90,forward
94,91,119,forward
175,35,182,right
162,21,68,spin_left
43,104,141,forward
122,64,40,forward
168,198,142,forward
74,119,112,forward
122,192,29,forward
32,154,118,forward
92,197,184,forward
22,144,174,forward
119,45,80,left
178,169,21,forward
105,5,125,back
186,98,46,forward
190,82,125,forward
3,39,130,right
160,76,60,forward
134,185,172,forward
79,12,14,back
28,38,81,right
48,169,79,forward
174,77,74,forward
152,95,93,forward
138,136,55,forward
25,43,86,right
112,25,27,spin_left
88,177,147,forward
169,81,178,forward
192,131,197,forward
27,22,18,spin_left
21,140,189,forward
158,53,69,forward
111,15,99,back
70,57,189,forward
131,145,143,forward
186,152,128,forward
195,8,25,back
157,131,115,forward
76,104,85,forward
193,122,101,forward
17,143,87,forward
129,165,55,forward
93,13,106,back
89,8,197,back
197,187,130,forward
92,58,97,forward
169,192,147,forward
146,109,152,forward
7,163,58,forward
108,107,48,forward
87,40,195,right
4,7,158,back
5,196,111,forward
189,112,49,forward
13,54,152,forward
124,36,134,right
35,23,55,spin_right
131,143,99,forward
40,113,157,forward
30,9,119,back
109,37,55,left
140,9,32,back
193,89,81,forward
193,168,188,forward
153,95,111,forward
152,58,189,forward
30,164,62,forward
45,77,15,forward
42,82,180,forward
58,5,72,back
155,129,186,forward
107,180,71,forward
14,56,20,forward
118,56,78,forward
103,42,102,left
42,47,173,right
155,62,103,forward
137,80,84,forward
186,7,52,back
154,163,150,forward
141,42,37,left
185,136,185,forward
194,156,104,forward
152,137,88,forward
85,101,143,forward
26,151,115,forward
153,113,0,forward
107,158,108,forward
11,94,147,forward
192,1,196,back
57,99,175,forward
134,111,3,forward
110,87,187,forward
23,131,80,forward
53,26,141,spin_right
62,163,6,forward
36,196,126,forward
105,113,20,forward
154,25,52,spin_left
175,100,168,forward
92,121,166,forward
104,175,153,forward
126,117,157,forward
34,182,135,forward
182,3,126,back
121,85,119,forward
78,55,79,forward
104,2,86,back
146,75,149,forward
26,62,38,forward
177,130,37,forward
40,128,44,forward
120,162,185,forward
60,87,109,forward
131,164,197,forward
146,172,184,forward
22,126,36,forward
194,26,198,spin_right
115,170,152,forward
123,51,34,forward
136,161,193,forward
74,27,45,spin_left
47,156,197,forward
184,157,110,forward
152,125,116,forward
199,18,47,back
30,141,172,forward
182,132,153,forward
173,167,18,forward
68,144,97,forward
86,118,130,forward
157,119,161,forward
150,162,118,forward
65,14,151,back
145,6,102,back
127,145,5,forward
28,3,89,back
42,133,148,forward
81,94,82,forward
12,153,82,forward
166,62,114,forward
122,96,43,forward
126,182,69,forward
191,178,55,forward
109,127,12,forward
95,70,17,forward
39,112,11,forward
122,178,154,forward
142,107,32,forward
96,44,132,right
81,47,66,left
19,12,103,back
134,11,158,back
181,32,99,left
111,68,190,forward
97,24,67,spin_left
159,70,171,forward
137,140,91,forward
50,41,95,right
151,29,109,spin_left
105,53,136,forward
136,83,142,forward
117,182,26,forward
72,43,55,left
25,129,164,forward
199,192,63,forward
68,189,150,forward
100,140,192,forward
142,47,149,right
178,47,73,left
3,130,157,forward
167,184,107,forward
66,134,0,forward
62,144,36,forward
105,106,49,forward
168,170,110,forward
161,126,98,forward
7,156,90,forward
5,164,42,forward
74,82,146,forward
180,153,192,forward
40,35,125,right
26,52,122,forward
178,68,39,forward
144,33,162,right
81,117,130,forward
174,121,70,forward
95,56,142,forward
188,86,174,forward
61,164,87,forward
21,184,53,forward
40,112,16,forward
181,171,93,forward
116,55,180,forward
27,106,181,forward
185,149,44,forward
151,103,74,forward
121,5,198,back
161,163,42,forward
177,37,32,left
107,5,112,back
192,80,52,forward
43,150,50,forward
34,89,121,forward
180,83,108,forward
44,171,164,forward
72,173,175,forward
1,144,110,forward
164,188,187,forward
150,131,54,forward
159,3,170,back
86,16,49,back
1,109,0,forward
45,49,129,right
126,40,105,left
98,69,62,forward
27,74,109,forward
132,191,184,forward
122,23,109,spin_left
65,198,55,forward
111,109,36,forward
25,86,116,forward
103,186,4,forward
128,164,78,forward
47,191,69,forward
41,37,140,right
115,136,171,forward
85,108,4,forward
103,124,134,forward
36,193,46,forward
34,66,139,forward
50,37,25,left
48,194,122,forward
136,92,175,forward
101,20,26,back
25,131,151,forward
135,40,21,left
11,52,121,forward
100,126,60,forward
67,170,137,forward
65,51,142,forward
173,187,168,forward
108,28,114,spin_right
180,59,100,forward
15,109,191,forward
85,155,149,forward
88,176,158,forward
39,102,125,forward
185,15,47,back
71,123,11,forward
12,53,193,forward
133,38,119,left
94,137,96,forward
134,5,63,back
118,80,171,forward
38,191,73,forward
118,174,68,forward
81,108,32,forward
122,12,15,back
159,145,75,forward
176,76,53,forward
138,3,123,back
190,88,187,forward
29,38,18,left
123,41,158,right
163,100,158,forward
43,198,3,forward
157,117,103,forward
180,104,72,forward
51,74,60,forward
25,184,20,forward
194,150,98,forward
115,110,95,forward
7,69,77,forward
173,152,171,forward
22,199,11,forward
120,14,138,back
126,135,134,forward
176,45,121,left
131,19,39,back
18,1,178,back
192,188,83,forward
32,16,120,back
10,5,120,back
189,51,27,forward
156,124,192,forward
119,170,55,forward
130,76,14,forward
159,23,64,spin_left
124,107,37,forward
92,119,20,forward
175,6,139,back
51,66,134,forward
72,190,147,forward
138,47,107,left
86,142,74,forward
17,92,124,forward
146,41,184,right
197,183,28,forward
51,174,147,forward
105,44,87,left
110,8,35,back
150,169,114,forward
114,57,140,forward
192,99,99,forward
181,95,43,forward
78,163,123,forward
3,176,79,forward
47,146,163,forward
197,54,145,forward
26,147,50,forward
110,190,15,forward
167,27,76,spin_left
83,188,26,forward
67,137,5,forward
80,50,85,right
142,48,101,left
104,28,103,spin_left
155,15,161,back
90,60,44,forward
142,127,175,forward
72,80,39,forward
149,112,158,forward
4,122,34,forward
0,70,91,forward
26,188,7,forward
102,16,196,back
79,130,8,forward
110,73,127,forward
60,56,83,forward
49,1,134,back
84,158,57,forward
118,3,87,back
80,12,84,back
53,146,68,forward
164,38,78,left
78,97,111,forward
81,73,49,forward
164,159,60,forward
66,184,46,forward
27,169,195,forward
66,22,168,spin_right
60,71,92,forward
140,110,183,forward
45,76,30,forward
52,42,73,right
117,27,136,spin_right
52,174,54,forward
133,4,136,back
9,13,103,back
122,189,95,forward
152,100,14,forward
159,183,84,forward
194,118,65,forward
155,7,195,back
46,12,92,back
130,47,102,left
101,121,81,forward
4,116,127,forward
6,137,124,forward
111,37,81,left
98,143,185,forward
168,58,118,forward
149,178,169,forward
10,198,101,forward
64,84,106,forward
31,159,66,forward
135,159,140,forward
128,24,110,spin_left
125,159,88,forward
156,168,94,forward
128,183,124,forward
46,45,166,right
60,162,47,forward
188,40,9,left
33,118,177,forward
10,81,144,forward
124,145,102,forward
175,97,168,forward
7,139,67,forward
125,43,47,left
109,2,15,back
122,135,153,forward
94,38,180,right
21,194,45,forward
18,22,4,spin_left
160,168,38,forward
138,154,30,forward
25,182,76,forward
76,17,70,back
12,29,69,spin_right
139,150,121,forward
156,120,154,forward
185,126,145,forward
92,91,92,forward
112,43,8,left
56,68,25,forward
61,141,127,forward
150,102,158,forward
28,48,40,right
170,182,122,forward
65,117,26,forward
1,85,83,forward
10,110,150,forward
13,142,187,forward
38,21,54,spin_right
87,153,46,forward
75,21,65,spin_left
